Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Nenad Krstić,27,BOS,C,24,20,553,14.3,0.598,0.000,0.544,11.1,17.0,14.2,2.3,0.8,1.1,11.2,17.8,1.0,0.9,2.0,0.170,-1.4,-0.3,-1.8,0.0,,krstine01,2010-2011
Shannon Brown,25,LAL,SG,82,0,1568,13.6,0.518,0.330,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5,,brownsh01,2010-2011
Earl Watson,31,UTA,PG,80,13,1567,10.2,0.500,0.349,0.267,4.0,10.1,7.0,25.7,2.1,0.9,25.3,13.4,0.2,0.8,1.0,0.030,-1.9,-0.3,-2.1,-0.1,,watsoea01,2010-2011
Randy Foye,27,LAC,SG,63,24,1551,11.4,0.516,0.409,0.281,1.0,6.7,3.9,17.5,1.6,1.1,13.7,19.9,0.9,0.8,1.7,0.051,-1.1,-0.7,-1.8,0.1,,foyera01,2010-2011
James Jones,30,MIA,SF,81,8,1549,11.1,0.629,0.829,0.208,1.9,9.9,6.1,4.1,1.0,1.0,5.3,12.0,3.0,1.7,4.7,0.145,0.7,0.3,1.0,1.2,,jonesja02,2010-2011
Maurice Evans,32,2TM,SF,73,24,1549,9.1,0.513,0.394,0.137,3.9,8.0,5.9,4.5,1.1,0.7,6.8,14.2,1.0,0.7,1.7,0.054,-2.2,-1.0,-3.2,-0.5,,evansma01,2010-2011
Maurice Evans,32,ATL,SF,47,12,837,7.5,0.492,0.443,0.139,3.3,8.7,6.0,5.4,1.0,0.5,6.6,13.0,0.3,0.6,0.9,0.050,-3.1,-0.5,-3.7,-0.4,,evansma01,2010-2011
Maurice Evans,32,WAS,SF,26,12,712,10.9,0.531,0.350,0.135,4.5,7.1,5.8,3.4,1.3,1.0,7.1,15.8,0.7,0.2,0.9,0.058,-1.1,-1.6,-2.7,-0.1,,evansma01,2010-2011
Marcus Camby,36,POR,C,59,51,1540,14.8,0.426,0.003,0.238,13.8,35.2,24.1,11.7,1.4,5.0,16.0,11.7,0.8,3.0,3.7,0.116,-0.7,2.2,1.5,1.4,,cambyma01,2010-2011
Tyler Hansbrough,25,IND,PF,70,29,1535,16.4,0.529,0.003,0.413,10.6,15.9,13.2,4.7,1.2,0.7,9.5,23.1,2.2,1.6,3.8,0.118,-0.6,-1.3,-1.9,0.0,,hansbty01,2010-2011
Derrick Favors,19,2TM,PF,78,27,1535,13.9,0.542,0.000,0.416,12.9,19.1,16.0,4.2,1.0,3.5,13.5,17.1,1.5,1.4,2.9,0.091,-2.6,-0.6,-3.2,-0.5,,favorde01,2010-2011
Derrick Favors,19,NJN,PF,56,23,1091,12.6,0.540,0.000,0.420,13.3,19.1,16.1,3.2,0.9,2.9,14.6,16.3,0.9,1.0,1.9,0.083,-3.2,-0.7,-3.9,-0.5,,favorde01,2010-2011
Derrick Favors,19,UTA,PF,22,4,444,16.8,0.545,0.000,0.407,12.1,19.2,15.6,6.7,1.3,4.9,11.3,19.2,0.6,0.4,1.0,0.110,-1.2,-0.4,-1.6,0.0,,favorde01,2010-2011
Nick Collison,30,OKC,C,71,2,1524,10.8,0.600,0.000,0.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,2.1,1.5,3.6,0.113,-1.9,0.7,-1.2,0.3,,collini01,2010-2011
JJ Redick,26,ORL,SG,59,5,1513,12.8,0.589,0.490,0.286,0.5,8.1,4.4,11.0,1.0,0.2,9.5,17.0,2.7,1.8,4.5,0.142,0.4,0.7,1.1,1.2,6MOY-15,redicjj01,2010-2011
Corey Brewer,24,2TM,SG,69,24,1510,11.0,0.482,0.230,0.393,4.2,8.9,6.5,9.1,3.3,0.8,13.2,18.8,-0.1,1.3,1.1,0.036,-3.5,1.2,-2.3,-0.1,,breweco01,2010-2011
Corey Brewer,24,MIN,SF,56,22,1362,10.3,0.471,0.227,0.391,3.6,9.0,6.2,8.6,3.3,0.8,13.1,18.4,-0.4,1.0,0.6,0.023,-3.8,1.0,-2.8,-0.3,,breweco01,2010-2011
Corey Brewer,24,DAL,SG,13,2,148,17.6,0.573,0.255,0.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,0.3,0.3,0.5,0.163,-0.8,2.6,1.8,0.1,,breweco01,2010-2011
Ersan İlyasova,23,MIL,PF,60,34,1505,14.3,0.516,0.239,0.205,7.9,20.7,14.1,6.6,1.8,1.3,10.2,19.1,1.1,2.7,3.8,0.121,-1.2,0.6,-0.6,0.5,,ilyaser01,2010-2011
Andrew Bynum,23,LAL,C,54,47,1500,21.1,0.606,0.000,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,3.8,2.8,6.6,0.210,1.8,1.4,3.2,2.0,DPOY-22,bynuman01,2010-2011
Richard Hamilton,32,DET,SG,55,39,1498,15.8,0.520,0.215,0.256,1.9,8.7,5.1,19.8,1.4,0.2,10.5,26.0,1.6,0.2,1.8,0.059,0.6,-2.2,-1.6,0.1,,hamilri01,2010-2011
Jerryd Bayless,22,2TM,PG,71,14,1496,14.1,0.536,0.282,0.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,1.4,0.3,1.6,0.053,0.1,-1.9,-1.8,0.1,,bayleje01,2010-2011
Jerryd Bayless,22,NOH,PG,11,0,149,7.2,0.443,0.286,0.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,-0.3,0.1,-0.2,-0.050,-4.8,-2.5,-7.3,-0.2,,bayleje01,2010-2011
Jerryd Bayless,22,TOR,PG,60,14,1347,14.9,0.545,0.282,0.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,1.7,0.1,1.8,0.064,0.6,-1.8,-1.2,0.3,,bayleje01,2010-2011
Tony Allen,29,MEM,SG,72,31,1494,18.4,0.562,0.047,0.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,0.152,0.1,3.5,3.6,2.1,DPOY-46MOY-11,allento01,2010-2011
Joel Anthony,28,MIA,C,75,11,1463,7.3,0.583,0.000,0.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,0.107,-3.2,1.6,-1.6,0.2,,anthojo01,2010-2011
Keith Bogans,30,CHI,SG,82,82,1461,9.0,0.559,0.772,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7,DPOY-19,boganke01,2010-2011
Al-Farouq Aminu,20,LAC,SF,81,14,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3,,aminual01,2010-2011
Austin Daye,22,DET,SF,72,16,1446,13.0,0.518,0.365,0.229,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,1.2,0.9,2.1,0.070,-0.8,-0.5,-1.3,0.3,,dayeau01,2010-2011
Matt Bonner,30,SAS,PF,66,1,1432,13.5,0.617,0.620,0.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,3.0,1.4,4.4,0.147,1.7,0.2,1.9,1.4,6MOY-15,bonnema01,2010-2011
Ryan Anderson,22,ORL,PF,64,14,1424,19.0,0.591,0.650,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,0.216,4.2,0.4,4.6,2.4,,anderry01,2010-2011
Hakim Warrick,28,PHO,PF,80,6,1416,16.5,0.581,0.025,0.659,7.2,17.0,12.1,7.6,1.1,0.5,12.1,20.9,2.6,0.8,3.4,0.116,0.1,-1.0,-1.0,0.3,,warriha01,2010-2011
