Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Tim Frazier,24,2TM,PG,11,3,239,8.1,0.406,0.279,0.344,2.6,10.2,6.3,39.4,1.7,0.0,26.2,17.5,-0.3,0.2,-0.1,-0.017,-4.5,-0.7,-5.2,-0.2,,fraziti01
Tim Frazier,24,PHI,PG,6,3,171,5.9,0.343,0.256,0.349,2.4,10.0,6.0,40.4,1.8,0.0,26.6,17.2,-0.4,0.1,-0.3,-0.071,-5.6,-1.3,-6.9,-0.2,,fraziti01
Tim Frazier,24,POR,PG,5,0,68,13.7,0.557,0.333,0.333,3.2,10.8,7.1,36.7,1.5,0.0,25.3,18.2,0.1,0.1,0.2,0.119,-1.8,1.0,-0.8,0.0,,fraziti01
Dwight Powell,23,2TM,PF,29,0,236,13.8,0.552,0.164,0.493,8.3,14.9,11.6,5.5,1.9,2.1,11.9,17.5,0.3,0.3,0.6,0.122,-1.7,0.7,-1.0,0.1,,poweldw01
Dwight Powell,23,BOS,PF,5,0,9,34.9,0.765,0.000,0.400,0.0,12.3,6.1,0.0,11.1,0.0,25.4,38.3,0.0,0.0,0.0,0.138,4.0,8.9,12.9,0.0,,poweldw01
Dwight Powell,23,DAL,PF,24,0,227,13.0,0.535,0.177,0.500,8.7,15.0,11.8,5.7,1.6,2.1,10.6,16.6,0.3,0.2,0.6,0.121,-1.9,0.3,-1.6,0.0,,poweldw01
Larry Drew II,24,PHI,PG,12,1,219,4.5,0.388,0.448,0.052,0.5,7.3,3.7,33.9,1.4,0.0,29.6,16.8,-0.5,0.1,-0.4,-0.087,-7.1,-2.8,-9.9,-0.4,,drewla02
Landry Fields,26,TOR,SF,26,9,216,10.8,0.527,0.049,0.146,5.3,8.5,6.9,10.1,2.6,0.0,15.5,10.8,0.2,0.1,0.3,0.072,-1.4,1.2,-0.1,0.1,,fieldla01
Jeff Adrien,28,MIN,PF,17,0,215,14.2,0.494,0.000,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-1.9,-0.6,-2.4,0.0,,adrieje01
Gigi Datome,27,2TM,SF,21,1,209,15.1,0.587,0.449,0.011,1.5,13.9,7.6,7.6,0.5,2.6,9.1,20.7,0.2,0.2,0.4,0.095,1.8,-0.6,1.2,0.2,,datomlu01
Gigi Datome,27,DET,SF,3,0,17,16.7,0.458,0.333,0.000,6.2,20.0,12.8,24.9,3.0,0.0,14.3,36.5,0.0,0.0,0.0,-0.033,0.3,0.0,0.3,0.0,,datomlu01
Gigi Datome,27,BOS,SF,18,1,192,14.9,0.607,0.468,0.013,1.1,13.3,7.1,6.0,0.3,2.8,8.3,19.3,0.3,0.2,0.4,0.106,1.9,-0.7,1.3,0.2,,datomlu01
Devyn Marble,22,ORL,SG,16,7,208,5.9,0.362,0.500,0.364,2.7,14.4,8.4,11.5,2.2,0.8,15.0,13.1,-0.3,0.2,-0.1,-0.031,-4.7,-0.1,-4.8,-0.1,,marblde01
Francisco García,33,HOU,SF,14,0,200,3.6,0.347,0.714,0.063,1.7,7.7,4.7,11.0,2.2,1.9,13.4,16.2,-0.4,0.2,-0.2,-0.044,-4.9,0.7,-4.2,-0.1,,garcifr01
Cartier Martin,30,DET,SF,23,0,198,1.6,0.340,0.623,0.000,0.0,11.4,5.5,8.0,0.8,0.4,8.6,13.0,-0.3,0.1,-0.2,-0.053,-6.6,-0.6,-7.2,-0.3,,martica01
Steve Novak,31,2TM,PF,35,0,197,8.6,0.554,0.857,0.036,1.1,11.4,6.3,8.6,0.0,0.8,8.1,14.1,0.2,0.1,0.3,0.075,-0.1,-1.8,-1.9,0.0,,novakst01
Steve Novak,31,UTA,SF,22,0,109,14.5,0.669,0.943,0.057,1.1,15.8,8.5,9.3,0.0,0.7,7.7,16.4,0.3,0.1,0.4,0.162,3.6,-1.2,2.4,0.1,,novakst01
Steve Novak,31,OKC,PF,13,0,88,1.3,0.357,0.714,0.000,1.2,6.0,3.7,7.7,0.0,0.9,8.7,11.3,-0.1,0.0,-0.1,-0.032,-4.7,-2.5,-7.2,-0.1,,novakst01
Malcolm Thomas,26,PHI,PF,17,0,194,8.2,0.492,0.175,0.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,-0.1,0.2,0.1,0.023,-5.3,-1.7,-7.0,-0.2,,thomama01
Ian Clark,23,2TM,SG,30,0,192,8.8,0.483,0.545,0.164,2.4,7.1,4.8,9.7,2.4,1.2,13.2,16.0,0.0,0.2,0.2,0.050,-3.0,0.0,-3.0,0.0,,clarkia01
Ian Clark,23,UTA,SG,23,0,161,8.3,0.476,0.568,0.114,2.9,6.4,4.7,9.7,2.0,1.0,13.2,15.1,0.0,0.1,0.1,0.044,-2.3,-0.3,-2.6,0.0,,clarkia01
Ian Clark,23,DEN,SG,7,0,31,11.6,0.509,0.455,0.364,0.0,10.8,5.2,9.9,4.8,2.5,13.6,20.6,0.0,0.0,0.1,0.083,-6.7,1.7,-5.0,0.0,,clarkia01
DeJuan Blair,25,WAS,PF,29,0,180,7.7,0.469,0.000,0.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,-0.2,0.3,0.1,0.033,-7.5,-0.9,-8.4,-0.3,,blairde01
Toney Douglas,28,NOP,SG,12,0,177,11.2,0.450,0.353,0.255,1.3,12.8,7.1,20.0,3.3,1.7,15.0,17.2,0.0,0.2,0.2,0.046,-3.5,1.7,-1.7,0.0,,douglto01
Jorge Gutiérrez,26,2TM,PG,20,1,175,11.0,0.567,0.073,0.317,3.3,12.9,8.1,19.6,1.8,0.0,20.4,15.2,0.1,0.2,0.3,0.088,-4.5,1.0,-3.5,-0.1,,gutiejo01
Jorge Gutiérrez,26,BRK,PG,10,0,44,10.9,0.522,0.071,0.214,0.0,17.8,8.9,26.0,1.2,0.0,16.4,19.0,0.0,0.0,0.1,0.059,-5.3,1.6,-3.7,0.0,,gutiejo01
Jorge Gutiérrez,26,MIL,PG,10,1,131,11.1,0.589,0.074,0.370,4.4,11.3,7.9,17.4,1.9,0.0,22.3,13.9,0.1,0.2,0.3,0.098,-4.2,0.8,-3.4,0.0,,gutiejo01
JaMychal Green,24,2TM,PF,24,1,164,14.9,0.603,0.128,0.213,13.3,18.0,15.7,4.0,1.6,2.4,21.4,18.3,0.1,0.3,0.4,0.119,-1.9,0.6,-1.3,0.0,,greenja01
JaMychal Green,24,SAS,PF,4,0,25,9.9,0.571,0.286,0.000,13.9,13.4,13.6,0.0,0.0,6.0,22.2,16.4,0.0,0.0,0.0,0.071,-5.3,1.1,-4.2,0.0,,greenja01
JaMychal Green,24,MEM,PF,20,1,139,15.8,0.608,0.100,0.250,13.2,18.8,16.0,4.7,1.9,1.8,21.3,18.6,0.1,0.2,0.4,0.127,-1.2,0.5,-0.7,0.0,,greenja01
