Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Jameer Nelson,22,ORL,PG,79,21,1612,14.5,0.510,0.225,0.170,3.7,9.7,6.7,24.8,2.5,0.1,14.8,21.4,1.2,1.3,2.5,0.074,-0.7,-0.1,-0.7,0.5,,nelsoja01
Erick Dampier,29,DAL,C,59,56,1609,15.2,0.580,0.008,0.621,13.0,21.7,17.4,4.9,0.5,3.7,17.9,15.8,2.3,2.3,4.5,0.135,-0.8,-0.1,-0.9,0.5,,dampier01
Zach Randolph,23,POR,PF,46,37,1603,18.6,0.511,0.008,0.343,10.7,20.8,15.9,10.2,1.1,0.8,11.6,27.7,1.6,1.5,3.1,0.094,1.0,-1.6,-0.7,0.5,,randoza01
Jeff Foster,28,IND,C,61,43,1594,15.4,0.551,0.015,0.438,15.6,25.4,20.6,4.8,1.6,0.6,12.5,13.3,2.9,2.5,5.4,0.162,0.2,-0.4,-0.3,0.7,,fosteje01
Baron Davis,25,2TM,PG,46,32,1581,20.8,0.515,0.471,0.323,2.2,10.6,6.2,42.0,2.7,0.7,13.2,28.2,2.8,1.5,4.4,0.132,4.1,0.0,4.1,2.4,,davisba01
Baron Davis,25,NOH,PG,18,13,593,21.4,0.492,0.452,0.317,3.1,10.6,6.7,44.0,2.9,0.5,9.9,30.0,1.1,0.6,1.7,0.138,5.2,0.2,5.4,1.1,,davisba01
Baron Davis,25,GSW,PG,28,19,988,20.4,0.530,0.483,0.327,1.7,10.6,5.9,40.8,2.6,0.7,15.3,27.1,1.7,0.9,2.6,0.129,3.5,-0.1,3.4,1.3,,davisba01
Jarvis Hayes,23,WAS,SF,54,22,1560,11.1,0.475,0.232,0.223,2.9,13.9,8.2,9.3,1.6,0.4,9.6,18.0,0.6,1.1,1.7,0.051,-1.7,-0.8,-2.6,-0.2,,hayesja01
Matt Bonner,24,TOR,C,82,0,1553,14.7,0.596,0.199,0.153,7.7,13.1,10.4,5.3,1.3,0.9,7.5,15.7,3.3,0.9,4.2,0.130,0.0,-0.6,-0.6,0.5,,bonnema01
Milt Palacio,26,TOR,PG,80,4,1533,12.5,0.507,0.031,0.395,1.9,8.1,4.9,28.8,1.6,0.6,18.4,16.8,1.0,0.7,1.7,0.054,-1.6,-0.9,-2.5,-0.2,,palacmi01
Jermaine O'Neal,26,IND,PF,44,41,1530,22.9,0.520,0.007,0.458,6.7,23.3,15.1,12.8,0.9,4.4,11.3,36.2,1.3,2.5,3.8,0.118,1.5,0.2,1.8,1.5,AS,onealje01
Corliss Williamson,31,2TM,PF,72,9,1527,14.7,0.536,0.003,0.418,7.6,11.5,9.5,8.6,1.3,0.8,11.1,22.6,2.0,1.2,3.3,0.103,-1.5,-1.0,-2.5,-0.2,,willico02
Corliss Williamson,31,PHI,PF,48,5,1056,14.4,0.529,0.005,0.396,7.7,11.3,9.5,7.3,1.2,0.9,10.9,23.0,1.1,1.0,2.1,0.094,-1.5,-0.9,-2.5,-0.1,,willico02
Corliss Williamson,31,SAC,PF,24,4,471,15.4,0.553,0.000,0.473,7.4,11.9,9.6,11.6,1.3,0.4,11.4,21.5,0.9,0.3,1.2,0.122,-1.4,-1.3,-2.7,-0.1,,willico02
Kelvin Cato,30,ORL,C,62,50,1525,14.9,0.600,0.000,0.481,7.6,22.7,15.3,3.9,1.8,3.8,15.1,12.1,2.1,2.2,4.3,0.137,-0.8,1.5,0.7,1.1,,catoke01
Doug Christie,34,2TM,SG,52,44,1525,9.9,0.471,0.187,0.235,2.8,10.1,6.5,18.3,2.7,0.8,22.1,13.6,-0.4,1.3,0.9,0.030,-2.7,1.4,-1.3,0.3,,chrisdo01
Doug Christie,34,SAC,SG,31,31,996,11.0,0.494,0.191,0.275,3.3,10.5,6.9,21.2,2.2,0.9,22.9,13.2,0.2,0.7,1.0,0.046,-1.6,1.1,-0.6,0.4,,chrisdo01
Doug Christie,34,ORL,SG,21,13,529,7.9,0.432,0.180,0.172,1.9,9.4,5.7,12.8,3.5,0.7,20.7,14.3,-0.6,0.6,0.0,-0.001,-4.6,2.0,-2.6,-0.1,,chrisdo01
Sam Cassell,35,MIN,PG,59,38,1522,18.6,0.529,0.150,0.226,2.0,9.5,5.9,35.2,1.3,0.7,12.6,26.4,2.8,1.0,3.8,0.119,1.9,-0.7,1.2,1.2,,cassesa01
Greg Buckner,28,DEN,SG,70,41,1522,13.7,0.638,0.399,0.267,5.0,10.7,7.9,13.2,2.5,0.3,12.6,11.4,3.0,1.8,4.8,0.153,-0.2,1.7,1.4,1.3,,buckngr01
Mike Sweetney,22,NYK,C,77,28,1509,16.4,0.592,0.002,0.527,13.0,19.5,16.3,4.9,0.9,1.4,16.4,19.9,2.7,1.1,3.8,0.122,-0.8,-1.7,-2.5,-0.2,,sweetmi01
Jon Barry,35,2TM,SG,69,2,1505,13.4,0.570,0.448,0.193,2.0,10.1,6.2,18.1,2.1,0.5,14.4,14.4,2.1,1.8,3.9,0.125,0.3,1.4,1.7,1.4,,barryjo01
Jon Barry,35,ATL,SG,16,0,275,10.6,0.502,0.416,0.169,1.6,7.6,4.4,16.2,2.7,0.6,14.5,15.7,0.1,0.1,0.2,0.038,-2.3,0.2,-2.1,0.0,,barryjo01
Jon Barry,35,HOU,SG,53,2,1230,14.0,0.588,0.457,0.199,2.1,10.7,6.5,18.5,2.0,0.4,14.3,14.2,2.0,1.7,3.7,0.144,0.9,1.6,2.5,1.4,,barryjo01
Keith Van Horn,29,2TM,PF,62,16,1502,15.7,0.550,0.252,0.278,6.8,15.6,11.3,8.5,1.3,1.0,11.3,21.5,2.3,1.2,3.5,0.112,0.7,-0.5,0.2,0.8,,vanhoke01
Keith Van Horn,29,MIL,SF,33,13,818,14.7,0.545,0.274,0.228,7.8,15.9,11.8,8.5,1.4,1.0,13.0,20.1,1.0,0.5,1.4,0.084,0.7,-0.4,0.2,0.5,,vanhoke01
Keith Van Horn,29,DAL,PF,29,3,684,16.9,0.554,0.229,0.330,5.7,15.2,10.5,8.5,1.1,1.1,9.6,23.1,1.3,0.8,2.1,0.145,0.7,-0.6,0.1,0.4,,vanhoke01
Eddie Griffin,22,MIN,PF,70,0,1492,15.9,0.474,0.391,0.149,10.3,23.8,17.3,5.6,0.8,5.7,9.0,19.0,0.8,2.4,3.2,0.102,-0.1,0.3,0.2,0.8,,griffed01
Jason Kapono,23,CHA,SF,81,14,1491,11.8,0.486,0.289,0.127,2.3,10.7,6.3,7.3,1.4,0.3,6.1,22.4,0.6,0.7,1.3,0.043,-0.8,-1.6,-2.4,-0.1,,kaponja01
Bonzi Wells,28,MEM,SG,69,19,1489,15.9,0.515,0.169,0.305,4.0,14.4,9.2,10.2,3.1,1.4,11.4,25.0,0.6,2.5,3.1,0.100,-0.8,1.4,0.6,1.0,,wellsbo01
Malik Rose,30,2TM,PF,76,5,1475,12.2,0.511,0.023,0.422,10.2,16.9,13.5,6.6,1.7,0.8,16.3,19.6,0.5,2.1,2.6,0.085,-3.0,0.0,-2.9,-0.3,,rosema01
Malik Rose,30,SAS,PF,50,1,862,14.0,0.510,0.015,0.371,12.9,17.9,15.4,8.0,1.9,0.8,15.3,19.8,0.6,1.7,2.3,0.130,-2.2,0.8,-1.4,0.1,,rosema01
Malik Rose,30,NYK,PF,26,4,613,9.5,0.511,0.034,0.500,6.5,15.4,10.9,4.7,1.3,0.9,17.8,19.2,-0.1,0.4,0.3,0.021,-4.0,-1.1,-5.1,-0.5,,rosema01
Travis Best,32,NJN,PG,76,6,1461,11.9,0.508,0.188,0.270,1.5,7.4,4.4,17.4,2.4,0.5,11.7,18.4,0.8,1.8,2.5,0.084,-2.4,1.0,-1.3,0.3,,besttr01
Carlos Arroyo,25,2TM,PG,70,16,1448,11.3,0.466,0.070,0.347,2.1,6.5,4.3,32.3,1.7,0.2,17.8,19.3,0.3,1.0,1.3,0.043,-2.1,-0.8,-2.9,-0.3,,arroyca01
