Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Jacque Vaughn,26,ATL,PG,82,16,1856,206,438,0.470,24,54,0.444,182,384,0.474,0.498,104,126,0.825,18,150,168,349,65,2,112,183,540,0,6MOY-8,vaughja01,2001-2002
Avery Johnson,36,2TM,PG,68,13,1352,207,432,0.479,0,5,0.000,207,427,0.485,0.479,121,163,0.742,14,55,69,286,40,9,76,86,535,0,,johnsav01,2001-2002
Avery Johnson,36,DEN,PG,51,13,1200,186,383,0.486,0,5,0.000,186,378,0.492,0.486,109,146,0.747,14,50,64,258,35,8,67,69,481,0,,johnsav01,2001-2002
Avery Johnson,36,DAL,PG,17,0,152,21,49,0.429,0,0,,21,49,0.429,0.429,12,17,0.706,0,5,5,28,5,1,9,17,54,0,,johnsav01,2001-2002
Jerome Williams,28,TOR,PF,68,32,1641,190,388,0.490,0,0,,190,388,0.490,0.490,138,204,0.676,165,221,386,75,78,25,68,153,518,0,,willije01,2001-2002
Austin Croshere,26,IND,PF,76,1,1286,185,448,0.413,49,145,0.338,136,303,0.449,0.468,97,114,0.851,74,220,294,77,26,29,67,106,516,0,,croshau01,2001-2002
Lorenzen Wright,26,MEM,C,43,33,1251,223,486,0.459,0,2,0.000,223,484,0.461,0.459,70,123,0.569,130,275,405,44,30,23,72,126,516,0,,wrighlo02,2001-2002
Eddie House,23,MIA,PG,64,3,1230,209,524,0.399,54,157,0.344,155,367,0.422,0.450,42,49,0.857,17,93,110,123,43,5,80,98,514,0,,houseed01,2001-2002
Željko Rebrača,29,DET,C,74,4,1179,189,374,0.505,0,0,,189,374,0.505,0.505,135,175,0.771,84,206,290,38,28,73,84,192,513,0,,rebraze01,2001-2002
Gilbert Arenas,20,GSW,PG,47,30,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511,0,,arenagi01,2001-2002
Tony Battie,25,BOS,C,74,73,1819,211,390,0.541,0,2,0.000,211,388,0.544,0.541,88,130,0.677,184,297,481,35,60,67,51,219,510,0,,battito01,2001-2002
Scot Pollard,26,SAC,C,80,29,1881,197,358,0.550,0,0,,197,358,0.550,0.550,115,166,0.693,188,377,565,53,70,76,68,202,509,0,,pollasc01,2001-2002
Scott Padgett,25,UTA,PF,75,1,1295,188,395,0.476,49,113,0.434,139,282,0.493,0.538,75,102,0.735,111,174,285,82,43,13,69,140,500,0,,padgesc01,2001-2002
Calbert Cheaney,30,DEN,SG,68,47,1631,224,466,0.481,0,4,0.000,224,462,0.485,0.481,46,67,0.687,57,183,240,110,34,21,70,156,494,0,,cheanca01,2001-2002
Clarence Weatherspoon,31,NYK,PF,56,41,1728,189,452,0.418,0,0,,189,452,0.418,0.418,116,146,0.795,149,311,460,60,37,48,47,132,494,0,,weathcl01,2001-2002
Kelvin Cato,27,HOU,C,75,73,1917,190,326,0.583,0,1,0.000,190,325,0.585,0.583,113,194,0.582,176,349,525,29,40,95,53,208,493,0,,catoke01,2001-2002
Dion Glover,23,ATL,SG,55,25,1156,192,456,0.421,30,91,0.330,162,365,0.444,0.454,78,103,0.757,36,133,169,84,45,14,76,89,492,0,,glovedi01,2001-2002
Jake Tsakalidis,22,PHO,C,67,47,1582,190,400,0.475,0,1,0.000,190,399,0.476,0.475,111,159,0.698,130,244,374,23,23,69,78,193,491,0,,tsakaja01,2001-2002
Chris Mills,32,GSW,SF,66,0,1237,178,427,0.417,48,127,0.378,130,300,0.433,0.473,85,107,0.794,51,139,190,72,31,13,56,120,489,0,,millsch01,2001-2002
Monty Williams,30,ORL,SF,68,19,1284,198,362,0.547,0,4,0.000,198,358,0.553,0.547,88,134,0.657,80,155,235,96,49,17,86,134,484,0,,willimo01,2001-2002
Eddy Curry,19,CHI,C,72,31,1150,189,377,0.501,0,0,,189,377,0.501,0.501,105,160,0.656,111,161,272,25,16,53,69,173,483,0,,curryed01,2001-2002
Speedy Claxton,23,PHI,PG,67,18,1528,181,452,0.400,4,33,0.121,177,419,0.422,0.405,114,136,0.838,46,114,160,198,95,6,95,145,480,0,,claxtsp01,2001-2002
Troy Murphy,21,GSW,PF,82,4,1448,178,423,0.421,3,9,0.333,175,414,0.423,0.424,121,156,0.776,99,223,322,70,36,21,84,217,480,0,,murphtr01,2001-2002
Gary Trent,27,MIN,PF,64,10,1140,193,381,0.507,0,2,0.000,193,379,0.509,0.507,92,144,0.639,104,166,270,60,21,27,58,160,478,0,,trentga01,2001-2002
Greg Anthony,34,2TM,PG,60,38,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474,0,,anthogr01,2001-2002
Greg Anthony,34,CHI,PG,36,35,961,113,287,0.394,29,90,0.322,84,197,0.426,0.444,47,70,0.671,16,72,88,203,49,4,58,72,302,0,,anthogr01,2001-2002
Greg Anthony,34,MIL,PG,24,3,553,70,188,0.372,19,73,0.260,51,115,0.443,0.423,13,21,0.619,6,38,44,79,28,1,36,42,172,0,,anthogr01,2001-2002
Lindsey Hunter,31,LAL,PG,82,47,1616,187,490,0.382,79,208,0.380,108,282,0.383,0.462,20,40,0.500,18,103,121,129,66,19,55,120,473,0,,hunteli01,2001-2002
Eric Williams,29,BOS,SF,74,30,1747,144,385,0.374,24,86,0.279,120,299,0.401,0.405,160,219,0.731,58,163,221,109,77,8,95,179,472,0,,willier01,2001-2002
LaPhonso Ellis,31,MIA,SF,66,14,1684,189,452,0.418,38,124,0.306,151,328,0.460,0.460,53,84,0.631,107,180,287,56,30,37,73,196,469,0,,ellisla01,2001-2002
Jeff Foster,25,IND,C,82,48,1786,177,394,0.449,2,15,0.133,175,379,0.462,0.452,111,182,0.610,206,350,556,70,71,38,79,232,467,0,,fosteje01,2001-2002
Kevin Ollie,29,2TM,PG,81,17,1723,137,353,0.388,1,2,0.500,136,351,0.387,0.390,187,227,0.824,25,159,184,291,62,2,106,97,462,0,,ollieke01,2001-2002
Kevin Ollie,29,CHI,PG,52,17,1146,97,253,0.383,1,2,0.500,96,251,0.382,0.385,109,130,0.838,18,110,128,193,36,1,80,64,304,0,,ollieke01,2001-2002
Kevin Ollie,29,IND,PG,29,0,577,40,100,0.400,0,0,,40,100,0.400,0.400,78,97,0.804,7,49,56,98,26,1,26,33,158,0,,ollieke01,2001-2002
Samaki Walker,25,LAL,PF,69,63,1655,187,365,0.512,0,0,,187,365,0.512,0.512,86,129,0.667,129,352,481,64,28,88,53,170,460,0,,walkesa01,2001-2002
Shawn Kemp,32,POR,PF,75,5,1232,175,407,0.430,0,4,0.000,175,403,0.434,0.430,104,131,0.794,90,198,288,52,43,33,81,184,454,0,,kempsh01,2001-2002
Jarron Collins,23,UTA,C,70,68,1440,158,343,0.461,0,1,0.000,158,342,0.462,0.461,134,181,0.740,138,158,296,58,29,22,56,234,450,0,,collija03,2001-2002
Walt Williams,31,HOU,SF,48,25,1117,166,396,0.419,78,183,0.426,88,213,0.413,0.518,40,51,0.784,37,125,162,69,18,10,53,106,450,0,,williwa02,2001-2002
Tyrone Nesby,26,WAS,SF,70,9,1498,183,421,0.435,13,47,0.277,170,374,0.455,0.450,64,93,0.688,105,213,318,91,61,22,49,164,443,0,,nesbyty01,2001-2002
Charles Smith,26,SAS,SG,60,22,1141,182,428,0.425,35,131,0.267,147,297,0.495,0.466,42,65,0.646,34,99,133,80,52,44,59,114,441,0,,smithch04,2001-2002
Predrag Drobnjak,26,SEA,C,64,12,1174,191,414,0.461,0,2,0.000,191,412,0.464,0.461,55,73,0.753,75,144,219,51,20,31,51,109,437,0,,drobnpr01,2001-2002
Tyson Chandler,19,CHI,C,71,31,1389,151,304,0.497,0,0,,151,304,0.497,0.497,134,222,0.604,114,229,343,54,28,93,99,179,436,0,,chandty01,2001-2002
Hakeem Olajuwon,39,TOR,C,61,37,1378,194,418,0.464,0,2,0.000,194,416,0.466,0.464,47,84,0.560,98,268,366,66,74,90,98,147,435,0,,olajuha01,2001-2002
Grant Long,35,MEM,PF,66,56,1868,164,385,0.426,3,17,0.176,161,368,0.438,0.430,86,123,0.699,31,200,231,136,63,12,103,123,417,0,,longgr01,2001-2002
Adrian Griffin,27,DAL,SG,58,34,1383,179,359,0.499,16,54,0.296,163,305,0.534,0.521,41,49,0.837,68,161,229,106,75,12,42,142,415,0,,griffad01,2001-2002
Bruce Bowen,30,SAS,SF,59,59,1699,155,398,0.389,56,148,0.378,99,250,0.396,0.460,46,96,0.479,42,120,162,88,62,25,66,116,412,0,,bowenbr01,2001-2002
Shandon Anderson,28,NYK,SG,82,6,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411,0,,andersh01,2001-2002
Vladimir Radmanović,21,SEA,PF,61,16,1230,146,354,0.412,66,157,0.420,80,197,0.406,0.506,49,72,0.681,45,185,230,81,56,24,72,119,407,0,,radmavl01,2001-2002
Christian Laettner,32,WAS,PF,57,48,1441,168,362,0.464,2,10,0.200,166,352,0.472,0.467,66,76,0.868,74,227,301,151,60,25,85,129,404,0,,laettch01,2001-2002
Tony Massenburg,34,MEM,PF,73,31,1247,159,349,0.456,1,1,1.000,158,348,0.454,0.457,84,117,0.718,100,224,324,26,30,31,65,174,403,0,,masseto01,2001-2002
Eduardo Nájera,25,DAL,PF,62,11,1357,150,300,0.500,0,2,0.000,150,298,0.503,0.500,100,148,0.676,149,193,342,38,56,30,40,156,400,0,,najered01,2001-2002
Terry Porter,38,SAS,PG,72,0,1294,136,321,0.424,59,142,0.415,77,179,0.430,0.516,68,83,0.819,12,152,164,205,45,16,85,89,399,0,,portete01,2001-2002
Terrell Brandon,31,MIN,PG,32,28,962,155,365,0.425,4,23,0.174,151,342,0.442,0.430,83,84,0.988,17,76,93,264,52,6,43,49,397,0,,brandte01,2001-2002
Hanno Möttölä,25,ATL,C,82,14,1371,169,384,0.440,1,13,0.077,168,371,0.453,0.441,57,76,0.750,81,187,268,50,20,19,70,174,396,0,,mottoha01,2001-2002
Patrick Ewing,39,ORL,C,65,4,901,148,333,0.444,0,1,0.000,148,332,0.446,0.444,94,134,0.701,60,203,263,35,22,45,65,129,390,0,,ewingpa01,2001-2002
Óscar Torres,25,HOU,SG,65,13,1075,135,341,0.396,37,126,0.294,98,215,0.456,0.450,82,105,0.781,47,75,122,40,25,9,49,64,389,0,,torreos01,2001-2002
Jahidi White,25,WAS,C,71,69,1346,150,279,0.538,0,0,,150,279,0.538,0.538,83,154,0.539,159,285,444,17,25,75,65,163,383,0,,whiteja01,2001-2002
Adonal Foyle,26,GSW,C,79,36,1485,171,385,0.444,0,0,,171,385,0.444,0.444,37,93,0.398,150,234,384,41,36,168,76,179,379,0,,foylead01,2001-2002
Lamar Odom,22,LAC,SF,29,25,999,151,360,0.419,16,84,0.190,135,276,0.489,0.442,61,93,0.656,31,145,176,171,23,36,97,91,379,0,,odomla01,2001-2002
Bo Outlaw,30,2TM,PF,83,36,1928,166,299,0.555,1,2,0.500,165,297,0.556,0.557,43,102,0.422,147,217,364,127,70,92,96,205,376,0,,outlabo01,2001-2002
Bo Outlaw,30,ORL,PF,10,0,160,13,21,0.619,0,0,,13,21,0.619,0.619,8,18,0.444,15,14,29,5,9,9,11,23,34,0,,outlabo01,2001-2002
Bo Outlaw,30,PHO,PF,73,36,1768,153,278,0.550,1,2,0.500,152,276,0.551,0.552,35,84,0.417,132,203,335,122,61,83,85,182,342,0,,outlabo01,2001-2002
Kendall Gill,33,MIA,SG,65,49,1410,162,422,0.384,6,44,0.136,156,378,0.413,0.391,42,62,0.677,29,155,184,100,44,8,55,140,372,0,,gillke01,2001-2002
Brevin Knight,26,MEM,PG,53,11,1151,141,334,0.422,2,8,0.250,139,326,0.426,0.425,87,115,0.757,11,98,109,302,79,7,111,135,371,0,,knighbr01,2001-2002
Hubert Davis,31,WAS,SG,51,17,1231,146,326,0.448,57,126,0.452,89,200,0.445,0.535,16,21,0.762,7,70,77,107,28,3,44,58,365,0,,davishu01,2001-2002
Ryan Bowen,26,DEN,SF,75,21,1686,147,307,0.479,1,12,0.083,146,295,0.495,0.480,69,92,0.750,134,165,299,52,75,41,41,171,364,0,,bowenry01,2001-2002
Vitaly Potapenko,26,BOS,C,79,9,1343,137,301,0.455,0,0,,137,301,0.455,0.455,89,120,0.742,167,180,347,30,37,18,63,174,363,0,,potapvi01,2001-2002
Dell Curry,37,TOR,SG,56,4,886,141,347,0.406,45,131,0.344,96,216,0.444,0.471,33,37,0.892,23,58,81,61,22,6,41,50,360,0,,curryde01,2001-2002
Stacey Augmon,33,CHH,SG,77,3,1319,140,328,0.427,0,3,0.000,140,325,0.431,0.427,77,101,0.762,59,166,225,103,56,12,54,115,357,0,,augmost01,2001-2002
Jason Collins,23,NJN,C,77,9,1407,117,278,0.421,1,2,0.500,116,276,0.420,0.423,115,164,0.701,132,169,301,81,29,47,72,173,350,0,,collija04,2001-2002
Chris Gatling,34,MIA,PF,54,1,809,131,293,0.447,1,8,0.125,130,285,0.456,0.449,82,117,0.701,71,135,206,25,17,11,58,109,345,0,,gatlich01,2001-2002
Fred Hoiberg,29,CHI,SG,79,8,1408,121,291,0.416,24,92,0.261,97,199,0.487,0.457,79,94,0.840,18,192,210,136,61,5,32,87,345,0,,hoibefr01,2001-2002
Damon Jones,25,DET,PG,67,0,1083,114,284,0.401,69,186,0.371,45,98,0.459,0.523,43,59,0.729,13,90,103,140,23,1,61,83,340,0,,jonesda01,2001-2002
Ira Newble,27,ATL,SF,42,35,1273,131,263,0.498,1,7,0.143,130,256,0.508,0.500,75,88,0.852,80,142,222,45,38,20,49,117,338,0,,newblir01,2001-2002
